codigo,uf,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
1200013,AC,15256,15490,15721,16124,16444,16765,694,708,774,833,956,1039
1200054,AC,7417,7534,7649,7845,8003,8160,433,447,530,515,594,622
1200104,AC,26278,26702,27123,27824,28389,28954,1802,1771,2000,2217,2607,2623
1200138,AC,10266,10420,10572,10841,11055,11268,485,512,551,625,700,743
1200179,AC,11733,12008,12280,12622,12924,13226,335,352,387,473,590,652
1200203,AC,88376,89072,89760,91865,93333,94802,7088,7543,8151,9083,10659,11171
1200252,AC,18411,18696,18979,19466,19855,20244,1139,1229,1336,1571,1711,1764
1200302,AC,34780,34884,34986,35755,36233,36711,1315,1494,1533,1839,1936,2107
1200328,AC,8317,8473,8628,8857,9049,9240,153,155,168,386,332,354
1200336,AC,18977,19311,19643,20158,20583,21007,742,810,895,1006,1199,1270
1200344,AC,9459,9581,9701,9942,10127,10312,433,421,384,502,629,672
1200351,AC,18867,19299,19727,20275,20755,21236,402,398,454,510,611,637
1200385,AC,19761,19955,20147,20631,20982,21333,1031,1121,1188,1226,1449,1542
1200807,AC,18504,18824,19141,19642,20052,20462,672,718,730,825,1055,1130
1200393,AC,11982,12241,12497,12839,13135,13431,185,269,305,423,486,510
1200401,AC,407319,413418,419452,430156,438626,447097,54553,56196,59380,63051,68796,71601
1200427,AC,18930,19351,19767,20313,20787,21262,365,491,518,672,985,1003
1200435,AC,6540,6717,6893,7091,7274,7456,166,183,247,413,367,325
1200500,AC,45848,46511,47168,48364,49304,50244,2324,2399,2413,2686,3176,3242
1200450,AC,23024,23236,23446,24005,24406,24806,1473,1563,1717,1853,2082,2200
1200609,AC,42567,43151,43730,44829,45683,46537,1715,1840,1946,2236,2542,2661
1200708,AC,19323,19596,19866,20368,20760,21152,1188,1292,1355,1385,1519,1621
2700102,AL,20196,20230,20263,20112,20060,20008,630,689,786,908,1138,1360
2700201,AL,17545,17526,17507,17381,17310,17239,625,629,680,726,884,1041
2700300,AL,231747,233047,234309,234146,234601,235057,19613,20655,22231,23914,27335,29020
2700409,AL,47185,47365,47540,47444,47468,47492,1137,1200,1393,1658,2263,2488
2700508,AL,15932,16068,16201,16224,16294,16364,469,469,599,671,840,966
2700607,AL,8322,8378,8434,8435,8460,8485,459,502,636,738,816,866
