codigo,uf,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
1200013,AC,15020,15256,15490,15721,16124,16444,651,694,708,774,833,956
1200054,AC,7300,7417,7534,7649,7845,8003,425,433,447,530,515,594
1200104,AC,25848,26278,26702,27123,27824,28389,1618,1802,1771,2000,2217,2607
1200138,AC,10111,10266,10420,10572,10841,11055,417,485,512,551,625,700
1200179,AC,11456,11733,12008,12280,12622,12924,311,335,352,387,473,590
1200203,AC,87673,88376,89072,89760,91865,93333,6726,7088,7543,8151,9083,10659
1200252,AC,18122,18411,18696,18979,19466,19855,1063,1139,1229,1336,1571,1711
1200302,AC,34675,34780,34884,34986,35755,36233,1200,1315,1494,1533,1839,1936
1200328,AC,8159,8317,8473,8628,8857,9049,130,153,155,168,386,332
1200336,AC,18638,18977,19311,19643,20158,20583,674,742,810,895,1006,1199
1200344,AC,9336,9459,9581,9701,9942,10127,404,433,421,384,502,629
1200351,AC,18430,18867,19299,19727,20275,20755,356,402,398,454,510,611
1200385,AC,19565,19761,19955,20147,20631,20982,970,1031,1121,1188,1226,1449
1200807,AC,18180,18504,18824,19141,19642,20052,582,672,718,730,825,1055
1200393,AC,11720,11982,12241,12497,12839,13135,160,185,269,305,423,486
1200401,AC,401155,407319,413418,419452,430156,438626,52537,54553,56196,59380,63051,68796
1200427,AC,18504,18930,19351,19767,20313,20787,353,365,491,518,672,985
1200435,AC,6362,6540,6717,6893,7091,7274,179,166,183,247,413,367
1200500,AC,45177,45848,46511,47168,48364,49304,2296,2324,2399,2413,2686,3176
1200450,AC,22810,23024,23236,23446,24005,24406,1454,1473,1563,1717,1853,2082
1200609,AC,41976,42567,43151,43730,44829,45683,1599,1715,1840,1946,2236,2542
1200708,AC,19048,19323,19596,19866,20368,20760,1100,1188,1292,1355,1385,1519
2700102,AL,20162,20196,20230,20263,20112,20060,569,630,689,786,908,1138
2700201,AL,17564,17545,17526,17507,17381,17310,820,625,629,680,726,884
2700300,AL,230417,231747,233047,234309,234146,234601,18505,19613,20655,22231,23914,27335
2700409,AL,47000,47185,47365,47540,47444,47468,1179,1137,1200,1393,1658,2263
2700508,AL,15792,15932,16068,16201,16224,16294,407,469,469,599,671,840
2700607,AL,8264,8322,8378,8434,8435,8460,458,459,502,636,738,816
2700706,AL,18455,18232,18338,18440,18372,18352,703,748,750,795,929,1086
