uf,municipio,d2018,d2019,d2020,d2021
AC,ACRELANDIA,651,694,708,774
AC,ASSIS BRASIL,425,433,447,530
AC,BRASILEIA,1618,1802,1771,2000
AC,BUJARI,417,485,512,551
AC,CAPIXABA,311,335,352,387
AC,CRUZEIRO DO SUL,6726,7088,7543,8151
AC,EPITACIOLANDIA,1063,1139,1229,1336
AC,FEIJO,1200,1315,1494,1533
AC,JORDAO,130,153,155,168
AC,MANCIO LIMA,674,742,810,895
AC,MANOEL URBANO,404,433,421,384
AC,MARECHAL THAUMATURGO,356,402,398,454
AC,PLACIDO DE CASTRO,970,1031,1121,1188
AC,PORTO ACRE,582,672,718,730
AC,PORTO WALTER,160,185,269,305
AC,RIO BRANCO,52537,54553,56196,59380
AC,RODRIGUES ALVES,353,365,491,518
AC,SANTA ROSA DO PURUS,179,166,183,247
AC,SENA MADUREIRA,2296,2324,2399,2413
AC,SENADOR GUIOMARD,1454,1473,1563,1717
AC,TARAUACA,1599,1715,1840,1946
AC,XAPURI,1100,1188,1292,1355
AL,AGUA BRANCA,569,630,689,786
AL,ANADIA,820,625,629,680
AL,ARAPIRACA,18505,19613,20655,22231
AL,ATALAIA,1179,1137,1200,1393
AL,BARRA DE SANTO ANTONIO,407,469,469,599
AL,BARRA DE SAO MIGUEL,458,459,502,636
AL,BATALHA,703,748,750,795
AL,BELEM,139,151,145,158
AL,BELO MONTE,112,127,114,153
AL,BOCA DA MATA,1032,1243,1217,1337
AL,BRANQUINHA,142,164,175,199
AL,CACIMBINHAS,354,355,367,406
AL,CAJUEIRO,603,626,597,638
AL,CAMPESTRE,212,225,240,273
AL,CAMPO ALEGRE,1092,1208,1298,1628
AL,CAMPO GRANDE,214,216,222,238
AL,CANAPI,329,357,363,417
AL,CAPELA,599,572,599,682
AL,CARNEIROS,213,224,248,304
AL,CHA PRETA,187,213,204,242
AL,COITE DO NOIA,299,304,333,367
AL,COLONIA LEOPOLDINA,570,623,636,694
AL,COQUEIRO SECO,244,258,263,297
AL,CORURIPE,2931,2939,2851,3357
AL,CRAIBAS,409,468,495,569
AL,DELMIRO GOUVEIA,2873,3032,3209,3699
AL,DOIS RIACHOS,268,298,297,337
AL,ESTRELA DE ALAGOAS,340,287,284,331
AL,FEIRA GRANDE,437,486,516,545
AL,FELIZ DESERTO,124,136,127,142
AL,FLEXEIRAS,147,174,214,253
AL,GIRAU DO PONCIANO,825,904,915,1026
AL,IBATEGUARA,332,357,374,394
AL,IGACI,651,670,700,754
AL,IGREJA NOVA,456,495,558,575
AL,INHAPI,276,316,344,378
AL,JACARE DOS HOMENS,122,128,145,165
AL,JACUIPE,167,181,198,220
AL,JAPARATINGA,264,275,341,341
AL,JARAMATAIA,144,154,158,167
AL,JEQUIA DA PRAIA,232,221,216,257
AL,JOAQUIM GOMES,413,434,479,472
AL,JUNDIA,104,121,133,154
AL,JUNQUEIRO,819,879,900,989
AL,LAGOA DA CANOA,463,510,535,595
AL,LIMOEIRO DE ANADIA,534,605,619,684
AL,MACEIO,136399,140603,144947,154458
AL,MAJOR ISIDORO,547,561,556,622
AL,MAR VERMELHO,106,109,132,144
AL,MARAGOGI,1201,1333,1380,1490
AL,MARAVILHA,334,365,373,461
AL,MARECHAL DEODORO,4240,4778,5132,5871
AL,MARIBONDO,415,460,502,537
AL,MATA GRANDE,897,807,796,795
AL,MATRIZ DE CAMARAGIBE,885,949,925,1004
AL,MESSIAS,403,399,433,512
AL,MINADOR DO NEGRAO,134,144,145,162
AL,MONTEIROPOLIS,173,166,177,196
AL,MURICI,868,867,893,998
AL,NOVO LINO,272,289,320,347
AL,OLHO DAGUA DAS FLORES,891,905,959,1062
AL,OLHO DAGUA DO CASADO,161,194,236,267
AL,OLHO DAGUA GRANDE,77,77,80,89
AL,OLIVENCA,216,234,245,253
AL,OURO BRANCO,378,428,398,463
AL,PALESTINA,141,164,154,175
AL,PALMEIRA DOS INDIOS,5146,5234,5358,5653
AL,PAO DE ACUCAR,955,1052,1093,1183
AL,PARICONHA,287,337,356,392
AL,PARIPUEIRA,558,598,679,771
AL,PASSO DE CAMARAGIBE,294,365,389,395
AL,PAULO JACINTO,177,194,200,228
AL,PENEDO,3870,4042,4254,4676
