UF;Município;Ano 2024;Completa;Simplificada;Original;Retificadora;IAP;IAR;SSI;Pré-Preenchida;PGD;APP;Online;Restituição Conta; Restituição PIX; Final Espólio; Saída Definitiva; Feminino; Média Idade;Ano 2023;Ano 2022;Ano 2021
AC;ACRELANDIA;1.039;337;702;967;72;231;609;199;431;869;46;124;435;174;0;1;492;44;956;833;774
AC;ASSIS BRASIL;622;168;454;576;46;124;426;72;202;488;39;95;279;147;0;0;304;44;594;515;530
AC;BRASILEIA;2.623;823;1.800;2.447;176;551;1.673;399;708;2.332;103;188;884;789;0;0;1.220;46;2.607;2.217;2.000
AC;BUJARI;743;278;465;705;38;145;499;99;222;617;36;90;232;267;0;0;385;45;700;625;551
AC;CAPIXABA;652;169;483;600;52;126;400;126;142;594;22;36;241;159;0;0;329;45;590;473;387
AC;CRUZEIRO DO SUL;11.171;4.574;6.597;10.029;1.142;2.241;7.832;1.098;4.335;9.671;487;1.013;4.543;3.289;0;3;5.265;42;10.659;9.083;8.151
AC;EPITACIOLANDIA;1.764;609;1.155;1.599;165;378;1.112;274;742;1.529;73;162;709;403;0;0;800;44;1.711;1.571;1.336
AC;FEIJO;2.107;711;1.396;1.965;142;517;1.324;266;709;1.828;124;155;825;499;0;0;1.045;44;1.936;1.839;1.533
AC;JORDAO;354;72;282;334;20;109;232;13;57;317;7;30;139;93;0;0;171;41;332;386;168
AC;MANCIO LIMA;1.270;516;754;1.172;98;304;875;91;432;1.048;99;123;657;218;0;0;701;45;1.199;1.006;895
AC;MANOEL URBANO;672;186;486;627;45;153;381;138;202;610;22;40;204;177;0;0;330;44;629;502;384
AC;MARECHAL THAUMATURGO;637;176;461;603;34;154;411;72;140;551;15;71;309;102;0;0;339;41;611;510;454
AC;PLACIDO DE CASTRO;1.542;413;1.129;1.433;109;449;776;317;532;1.340;54;148;553;223;0;0;742;46;1.449;1.226;1.188
AC;PORTO ACRE;1.130;354;776;1.047;83;240;732;158;394;936;80;114;342;390;0;0;590;45;1.055;825;730
AC;PORTO WALTER;510;121;389;492;18;155;308;47;127;420;10;80;257;51;0;0;280;41;486;423;305
AC;RIO BRANCO;71.601;33.718;37.883;64.867;6.734;12.642;50.221;8.738;31.174;56.760;4.347;10.494;29.147;21.074;0;18;35.791;45;68.796;63.051;59.380
AC;RODRIGUES ALVES;1.003;416;587;888;115;320;647;36;382;717;74;212;440;207;0;0;514;42;985;672;518
AC;SANTA ROSA DO PURUS;325;125;200;298;27;100;192;33;121;239;37;49;120;72;0;0;120;39;367;413;247
AC;SENA MADUREIRA;3.242;1.098;2.144;2.937;305;683;2.035;524;1.022;2.725;281;236;1.383;652;0;0;1.523;44;3.176;2.686;2.413
AC;SENADOR GUIOMARD;2.200;775;1.425;2.042;158;507;1.423;270;852;1.875;137;188;908;515;0;0;1.069;46;2.082;1.853;1.717
AC;TARAUACA;2.661;878;1.783;2.485;176;554;1.855;252;704;2.413;90;158;1.116;739;0;0;1.312;44;2.542;2.236;1.946
AC;XAPURI;1.621;461;1.160;1.537;84;327;1.023;271;517;1.435;67;119;778;245;0;0;813;47;1.519;1.385;1.355
AL;AGUA BRANCA;1.360;453;907;1.251;109;279;993;88;530;1.080;109;171;631;362;0;0;581;44;1.138;908;786
AL;ANADIA;1.041;356;685;981;60;266;632;143;408;864;62;115;404;228;0;0;467;47;884;726;680
AL;ARAPIRACA;29.020;11.665;17.355;26.916;2.104;7.529;15.307;6.184;13.408;23.945;1.887;3.188;8.451;6.856;2;6;13.649;44;27.335;23.914;22.231
AL;ATALAIA;2.488;939;1.549;2.315;173;455;1.783;250;818;1.990;238;260;996;787;0;0;1.037;44;2.263;1.658;1.393
AL;BARRA DE SANTO ANTONIO;966;383;583;908;58;207;598;161;293;837;58;71;365;233;0;0;408;47;840;671;599
AL;BARRA DE SAO MIGUEL;866;423;443;803;63;225;467;174;431;692;59;115;273;194;0;0;399;50;816;738;636
AL;BATALHA;1.187;437;750;1.118;69;277;678;232;468;1.010;54;123;352;326;0;1;582;45;1.086;929;795
AL;BELEM;276;110;166;255;21;78;161;37;164;228;15;33;98;63;0;0;167;46;243;180;158
AL;BELO MONTE;319;58;261;302;17;92;195;32;100;259;7;53;100;95;0;0;165;43;253;187;153
AL;BOCA DA MATA;2.118;845;1.273;1.996;122;320;1.616;182;556;1.792;158;168;1.065;551;0;0;772;46;1.966;1.554;1.337
AL;BRANQUINHA;378;121;257;357;21;93;249;36;140;300;38;40;129;120;0;0;158;44;289;216;199
AL;CACIMBINHAS;551;163;388;514;37;179;267;105;129;497;25;29;203;64;0;0;290;48;482;406;406
AL;CAJUEIRO;1.018;424;594;974;44;246;664;108;343;768;61;189;428;236;0;0;450;47;956;738;638
AL;CAMPESTRE;399;115;284;378;21;98;245;56;125;330;13;56;149;96;0;0;192;46;365;293;273
AL;CAMPO ALEGRE;2.540;923;1.617;2.374;166;373;1.901;266;770;2.156;199;185;996;905;0;0;878;43;2.338;1.881;1.628
