codigo,uf,municipio,municipio2
1100015,RO,Alta Floresta D'Oeste,ALTA FLORESTA DOESTE
1100379,RO,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS
1100403,RO,Alto Paraíso,ALTO PARAISO
1100346,RO,Alvorada D'Oeste,ALVORADA DOESTE
1100023,RO,Ariquemes,ARIQUEMES
1100452,RO,Buritis,BURITIS
1100031,RO,Cabixi,CABIXI
1100601,RO,Cacaulândia,CACAULANDIA
1100049,RO,Cacoal,CACOAL
1100700,RO,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA
1100809,RO,Candeias do Jamari,CANDEIAS DO JAMARI
1100908,RO,Castanheiras,CASTANHEIRAS
1100056,RO,Cerejeiras,CEREJEIRAS
1100924,RO,Chupinguaia,CHUPINGUAIA
1100064,RO,Colorado do Oeste,COLORADO DO OESTE
1100072,RO,Corumbiara,CORUMBIARA
1100080,RO,Costa Marques,COSTA MARQUES
1100940,RO,Cujubim,CUJUBIM
1100098,RO,Espigão D'Oeste,ESPIGAO DOESTE
1101005,RO,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA
1100106,RO,Guajará-Mirim,GUAJARA-MIRIM
1101104,RO,Itapuã do Oeste,ITAPUA DO OESTE
1100114,RO,Jaru,JARU
1100122,RO,Ji-Paraná,JI-PARANA
1100130,RO,Machadinho D'Oeste,MACHADINHO DOESTE
1101203,RO,Ministro Andreazza,MINISTRO ANDREAZZA
1101302,RO,Mirante da Serra,MIRANTE DA SERRA
1101401,RO,Monte Negro,MONTE NEGRO
1100148,RO,Nova Brasilândia D'Oeste,NOVA BRASILANDIA DOESTE
1100338,RO,Nova Mamoré,NOVA MAMORE
1101435,RO,Nova União,NOVA UNIAO
1100502,RO,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE
1100155,RO,Ouro Preto do Oeste,OURO PRETO DO OESTE
1101450,RO,Parecis,PARECIS
1100189,RO,Pimenta Bueno,PIMENTA BUENO
1101468,RO,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE
1100205,RO,Porto Velho,PORTO VELHO
1100254,RO,Presidente Médici,PRESIDENTE MEDICI
1101476,RO,Primavera de Rondônia,PRIMAVERA DE RONDONIA
1100262,RO,Rio Crespo,RIO CRESPO
1100288,RO,Rolim de Moura,ROLIM DE MOURA
1100296,RO,Santa Luzia D'Oeste,SANTA LUZIA DOESTE
