codigo,p2014,p2015,p2016,p2017,p2018,p2019,p2020,p2021,p2022,p2023,p2024
1100015,25652,25578,25506,25437,23167,22945,22728,22516,21718,21169,20619
1100379,13884,13940,13993,14045,13227,13241,13255,13268,13027,12898,12770
1100403,19841,20210,20569,20916,20999,21428,21847,22258,22495,22826,23156
1100346,17228,17063,16902,16747,14722,14411,14106,13807,13039,12465,11891
1100023,102860,104401,105896,107345,106168,107863,109523,111148,111633,112685,113737
1100452,37207,37838,38450,39044,38937,39654,40356,41043,41366,41878,42389
1100031,6424,6355,6289,6224,5438,5312,5188,5067,4766,4539,4312
1100601,6318,6367,6414,6460,6190,6230,6269,6307,6244,6228,6211
1100049,86556,87226,87877,88507,84813,85359,85893,86416,85568,85343,85118
1100700,14081,14220,14354,14484,14009,14139,14266,14391,14311,14326,14342
1100809,23573,24155,24719,25266,25983,26693,27388,28068,28637,29283,29930
1100908,3653,3617,3583,3550,3119,3052,2987,2923,2759,2637,2514
1100056,18013,17986,17959,17934,16444,16323,16204,16088,15576,15234,14891
1100924,9887,10129,10364,10593,10886,11182,11472,11755,11990,12259,12527
1100064,19001,18817,18639,18467,16227,15882,15544,15213,14363,13727,13092
1100072,8938,8842,8749,8659,7567,7391,7220,7052,6633,6318,6003
1100080,16258,16651,17031,17400,17855,18331,18798,19255,19629,20059,20488
1100940,20204,20974,21720,22443,24226,25215,26183,27131,28162,29195,30228
1100098,32047,32385,32712,33030,32047,32374,32695,33009,32874,32949,33023
1101005,10327,10127,9933,9745,8095,7767,7445,7130,6467,5944,5421
1100106,46203,46632,47048,47451,45783,46174,46556,46930,46619,46624,46629
1101104,9831,9995,10155,10310,10272,10458,10641,10819,10900,11031,11162
1100114,55669,55738,55806,55871,51933,51775,51620,51469,50198,49412,48626
1100122,129242,130419,131560,132667,127907,128969,130009,131026,130112,130087,130062
1100130,36412,37167,37899,38609,39097,39991,40867,41724,42316,43059,43803
1101203,10860,10823,10786,10751,9762,9660,9559,9461,9110,8866,8622
1101302,12414,12360,12308,12258,11080,10947,10818,10691,10268,9970,9672
1101401,15710,15873,16032,16186,15695,15852,16007,16158,16087,16120,16153
1100148,21511,21592,21670,21747,20459,20474,20489,20504,20121,19913,19706
1100338,26925,27600,28255,28891,29757,30583,31392,32184,32856,33614,34371
1101435,7853,7824,7796,7769,7047,6970,6895,6822,6565,6385,6206
1100502,10393,10276,10161,10051,8751,8538,8329,8125,7625,7247,6868
1100155,40010,39924,39840,39759,36340,36035,35737,35445,34258,33451,32645
1101450,5589,5697,5802,5904,5947,6074,6198,6319,6395,6496,6596
1100189,37230,37512,37786,38051,36434,36660,36881,37098,36720,36612,36504
1101468,2432,2424,2417,2410,2191,2169,2148,2127,2049,1996,1943
1100205,494013,502748,511219,519436,519531,529544,539354,548952,553957,561369,568782
1100254,22783,22557,22337,22124,19409,18986,18571,18165,17133,16358,15584
1101476,3548,3501,3456,3411,2939,2856,2776,2697,2512,2371,2230
1100262,3709,3750,3790,3829,3723,3764,3804,3843,3831,3843,3855
1100288,55807,56242,56664,57074,54702,55058,55407,55748,55206,55066,54926
1100296,8706,8532,8362,8198,6781,6495,6216,5942,5371,4919,4467
1101484,6160,6103,6048,5994,5280,5172,5066,4962,4692,4490,4289
1101492,18640,19002,19353,19694,19842,20266,20681,21088,21343,21681,22019
1100320,23803,23933,24059,24181,22931,23005,23077,23147,22805,22647,22489
1101500,12543,12581,12617,12653,11860,11856,11851,11846,11604,11466,11327
1101559,5041,5003,4966,4931,4384,4308,4233,4160,3956,3807,3658
1101609,11345,11347,11348,11350,10494,10444,10395,10348,10063,9881,9699
1101708,13391,13293,13198,13106,11665,11467,11272,11081,10546,10154,9762
1101757,10682,10843,10999,11149,11028,11204,11377,11545,11596,11706,11815
1101807,8327,8231,8138,8047,6998,6825,6656,6490,6086,5779,5473
1100304,89797,91801,93745,95630,97448,99854,102211,104517,106262,108349,110435
1200013,13613,13869,14120,14366,15020,15256,15490,15721,16124,16444,16765
1200054,6610,6738,6863,6986,7300,7417,7534,7649,7845,8003,8160
1200104,23378,23849,24311,24765,25848,26278,26702,27123,27824,28389,28954
1200138,9173,9339,9503,9664,10111,10266,10420,10572,10841,11055,11268
1200179,10170,10498,10820,11136,11456,11733,12008,12280,12622,12924,13226
1200203,80953,81519,82075,82622,87673,88376,89072,89760,91865,93333,94802
1200252,16417,16731,17038,17340,18122,18411,18696,18979,19466,19855,20244
1200302,32398,32385,32372,32360,34675,34780,34884,34986,35755,36233,36711
1200328,7330,7509,7685,7858,8159,8317,8473,8628,8857,9049,9240
1200336,16795,17173,17545,17910,18638,18977,19311,19643,20158,20583,21007
1200344,8514,8641,8765,8886,9336,9459,9581,9701,9942,10127,10312
1200351,16380,16895,17401,17897,18430,18867,19299,19727,20275,20755,21236
1200385,17979,18159,18336,18510,19565,19761,19955,20147,20631,20982,21333
1200807,16396,16757,17111,17459,18180,18504,18824,19141,19642,20052,20462
1200393,10453,10759,11059,11353,11720,11982,12241,12497,12839,13135,13431
1200401,363928,370550,377057,383443,401155,407319,413418,419452,430156,438626,447097
1200427,16475,16974,17464,17945,18504,18930,19351,19767,20313,20787,21262
1200435,5593,5809,6021,6230,6362,6540,6717,6893,7091,7274,7456
1200500,41036,41750,42451,43139,45177,45848,46511,47168,48364,49304,50244
1200450,20992,21182,21369,21552,22810,23024,23236,23446,24005,24406,24806
1200609,38201,38819,39427,40024,41976,42567,43151,43730,44829,45683,46537
1200708,17317,17608,17894,18174,19048,19323,19596,19866,20368,20760,21152
1300029,15357,15545,15729,15908,15860,16041,16220,16396,16500,16637,16774
1300060,10644,10847,11047,11242,11332,11536,11736,11934,12095,12273,12452
1300086,11981,12320,12653,12978,13269,13614,13956,14292,14607,14935,15263
1300102,18826,19292,19749,20196,20538,21010,21477,21937,22351,22789,23227
1300144,20258,20648,21031,21406,21583,21973,22359,22739,23049,23393,23737
1300201,17658,18133,18599,19054,19438,19921,20398,20868,21302,21756,22210
1300300,36301,37033,37752,38454,38830,39565,40290,41005,41601,42256,42911
1300409,27273,27433,27589,27743,27364,27502,27638,27772,27747,27793,27839
1300508,30202,30658,31105,31542,31593,32041,32483,32919,33228,33597,33966
1300607,38533,39484,40417,41329,42020,42984,43935,44873,45716,46609,47502
1300631,17755,18171,18579,18978,19258,19679,20093,20503,20864,21250,21636
1300680,17248,17668,18080,18483,18781,19207,19626,20040,20410,20803,21196
1300706,33148,33498,33840,34176,33976,34308,34635,34958,35115,35348,35580
1300805,38688,39292,39885,40464,40565,41161,41748,42328,42749,43246,43742
1300839,12214,12420,12622,12820,12877,13081,13283,13482,13633,13807,13981
1300904,14944,15130,15312,15490,15450,15629,15807,15981,16086,16224,16362
1301001,27645,27880,28111,28337,28076,28294,28508,28719,28782,28912,29043
1301100,35938,36435,36922,37399,37384,37869,38348,38820,39133,39521,39909
1301159,27357,27981,28592,29190,29595,30225,30846,31459,31995,32570,33146
1301209,82209,83078,83929,84762,84272,85097,85910,86713,87105,87685,88264
1301308,26242,26777,27303,27817,28100,28637,29168,29691,30130,30611,31091
1301407,33580,34025,34461,34888,34840,35273,35700,36121,36390,36730,37070
1301506,18422,18786,19143,19492,19668,20033,20393,20748,21040,21364,21687
1301605,21295,20742,20199,19669,18221,17609,17005,16409,15566,14827,14087
1301654,15561,15826,16085,16339,16416,16678,16937,17193,17388,17612,17836
1301704,50230,51302,52354,53383,54001,55080,56144,57195,58091,59064,60037
1301803,26118,26860,27587,28299,28933,29689,30436,31172,31861,32578,33294
1301852,45250,45984,46703,47407,47571,48296,49011,49718,50243,50854,51466
1301902,95714,97122,98503,99854,99955,101337,102701,104046,104983,106112,107241
1301951,8205,8179,8153,8128,7888,7851,7814,7777,7679,7608,7537
1302009,8864,8953,9040,9125,9064,9148,9230,9312,9348,9405,9462
1302108,5599,5125,4660,4205,3265,2755,2251,1755,1134,563,-7
1302207,12807,13198,13581,13956,14312,14712,15106,15495,15865,16247,16630
1302306,16977,16585,16200,15824,14753,14317,13886,13462,12849,12315,11782
1302405,42439,43263,44071,44861,45245,46069,46882,47685,48342,49071,49799
